Panachi,0,233.0,444.0,2024-06-20T09:22:15.032641,momo,
coca,0,2222.0,5555.0,2024-06-20T09:23:31.412117,momo,
Panachi,0,233.0,2330.0,2024-06-20T09:24:31.874203,momo,
orange,18,100.0,200.0,2024-06-20T09:57:11.675720,momo,
orange,34,150.0,200.0,2024-06-20T10:00:08.224292,cash,
Skol,11,1000.0,1500.0,2024-06-20T10:37:16.216552,cash,
gin,7,1600.0,2000.0,2024-06-20T10:47:01.894971,debt,Nyiroyo
panachi,9,1000.0,1200.0,2024-06-21T09:26:13.437379,momo,
coca,12,600.0,900.0,2024-06-21T09:27:07.012595,momo,
gin,7,1600.0,2000.0,2024-06-25T09:15:31.203602,momo,
