cakes,0,399.0,Debtor,2024-06-19T10:28:35.034111
cakes,0,399.0,Cash,2024-06-19T10:33:57.800974
cakes,0,400.0,Momo,2024-06-19T10:35:26.478277
cakes,0,350.0,Debtor,2024-06-19T10:51:39.162366
igi,0,180.0,Debtor,2024-06-19T11:10:30.585471
voka,0,100.0,Debtor,2024-06-19T11:12:22.121135
ihene,0,35000.0,Cash,2024-06-19T11:26:26.239142
inkoko,0,7000.0,Momo,2024-06-19T11:47:14.812755
cakes,0,83.0,Momo,2024-06-20T08:38:17.240322
ihene,0,2500.0,Debtor,2024-06-20T08:39:00.848873
carot,10,1000.0,Momo,2024-06-23T08:35:44.501762
tungurusumu,10,50.0,Momo,2024-06-25T09:08:59.213002
